pais	origin	fxtousd	fxtoeur	data_date_part
SB	CLP	0.001314009	0.001108208913799	2020-11-20
SB	MYR	0.2443927	0.206115913372316	2020-11-20
SB	CNH	0.152609174	0.128707524315370	2020-11-20
SB	ARR	0.185797004	0.156697475581218	2020-11-20
SB	KRW	0.000896999	0.000756511229701	2020-11-20
SB	PHP	0.020732781	0.017485612802237	2020-11-20
SB	ZAR	0.0652367	0.055019327190801	2020-11-20
SB	CZK	0.044992776	0.037946007414103	2020-11-20
SB	HKD	0.128993672	0.108790682039768	2020-11-20
SB	JPY	0.00963027	0.008121977407878	2020-11-20
SB	CHF	1.097149094	0.925313593858392	2020-11-20
SB	RON	0.243402205	0.205280549434264	2020-11-20
SB	ILS	0.299468976	0.252566142410520	2020-11-20
SB	CAD	0.764119917	0.644443449279805	2020-11-20
SB	YEN	0.00963027	0.008121977407878	2020-11-20
SB	DAT	0.730736884	0.616288867001932	2020-11-20
NY	CSU	0.11605673	0.097879924056360	2020-11-20
NY	AED	0.272256452	0.229615644199154	2020-11-20
NY	RON	0.243402205	0.205280549434264	2020-11-20
NY	BRT	1	0.843379991710680	2020-11-20
NY	ARS	0.012610159	0.010635155424959	2020-11-20
NY	USD	1	0.843379991710680	2020-11-20
NY	PKR	0.00621504	0.005241640719147	2020-11-20
NY	HUF	0.003295859	0.002779661120710	2020-11-20
NY	NZD	0.693998833	0.585304730275775	2020-11-20
NY	PMX	0.049756096	0.041963295701150	2020-11-20
NY	CDK	0.15921971	0.134282717756003	2020-11-20
NY	VEB	4.01003E-05	0.000033819748513	2020-11-20
NY	PLN	0.265557097	0.223965542210671	2020-11-20
ES	CSU	0.1161366	0.097902297044270	2020-11-20
ES	AED	0.272245892	0.229501279232959	2020-11-20
ES	BMD	1	0.842992623814542	2020-11-20
ES	UYU	0.02334812	0.019682293341456	2020-11-20
ES	YEN	0.009632519	0.008120142790681	2020-11-20
ES	CZK	0.045012604	0.037945292753625	2020-11-20
ES	XAU	1874.245	1579.974710221285564	2020-11-20
ES	HRK	0.156868897	0.132239322924749	2020-11-20
ES	BHD	2.654702806	2.237894883895356	2020-11-20
ES	ARS	0.012444002	0.010490201889180	2020-11-20
ES	PLN	0.265717171	0.223997614873397	2020-11-20
ES	VEB	4.01003E-05	0.000033804214963	2020-11-20
ES	KES	0.00913242	0.007698562774562	2020-11-20
ES	TRY	0.131095962	0.110512929183868	2020-11-20
ES	CDK	0.159255956	0.134251596352169	2020-11-20
ES	AOA	0.001528176	0.001288240876889	2020-11-20
ES	DZD	0.007777713	0.006556554658380	2020-11-20
ES	NZD	0.694733917	0.585655567460485	2020-11-20
ES	USD	1	0.842992623814542	2020-11-20
NY	PEN	0.278120415	0.234561193413311	2020-11-20
NY	DCN	0.764119917	0.644443449279805	2020-11-20
NY	CLF	38.05957084	32.098680539786695	2020-11-20
NY	CNY	0.152370653	0.128506360189527	2020-11-20
NY	SEK	0.11605673	0.097879924056360	2020-11-20
NY	TRY	0.131358743	0.110785335601867	2020-11-20
NY	DKK	0.15921971	0.134282717756003	2020-11-20
NY	AUD	0.730736884	0.616288867001932	2020-11-20
NY	THB	0.033059017	0.027881313458310	2020-11-20
NY	RUB	0.013120744	0.011065772573878	2020-11-20
NY	BGN	0.606244316	0.511294326590288	2020-11-20
NY	KWD	3.270820466	2.758544537692336	2020-11-20
